iter,795, gw,27, gd,1009
iter,796, gw,26, gd,1018
iter,797, gw,23, gd,1019
iter,798, gw,25, gd,1018
iter,799, gw,25, gd,1010
iter,800, gw,23, gd,1014
iter,801, gw,38, gd,1007
iter,802, gw,26, gd,1017
iter,803, gw,21, gd,1010
iter,804, gw,23, gd,1016
iter,805, gw,24, gd,1002
iter,806, gw,35, gd,1004
iter,807, gw,29, gd,1014
iter,808, gw,35, gd,1010
iter,809, gw,23, gd,1013
iter,810, gw,39, gd,1015
iter,811, gw,27, gd,1008
iter,812, gw,28, gd,1008
iter,813, gw,27, gd,1009
iter,814, gw,23, gd,1023
iter,815, gw,24, gd,1008
iter,816, gw,37, gd,1015
iter,817, gw,29, gd,1012
iter,818, gw,25, gd,1003
iter,819, gw,25, gd,1013
iter,820, gw,24, gd,1008
iter,821, gw,22, gd,1009
iter,822, gw,28, gd,1013
iter,823, gw,30, gd,1008
iter,824, gw,24, gd,1003
iter,825, gw,21, gd,1010
iter,826, gw,23, gd,1022
iter,827, gw,29, gd,1007
iter,828, gw,23, gd,1016
iter,829, gw,29, gd,1009
iter,830, gw,23, gd,1015
iter,831, gw,23, gd,1011
iter,832, gw,25, gd,1005
iter,833, gw,25, gd,1006
iter,834, gw,26, gd,1010
iter,835, gw,24, gd,1012
iter,836, gw,35, gd,1010
iter,837, gw,28, gd,1010
iter,838, gw,23, gd,1004
iter,839, gw,41, gd,1005
iter,840, gw,23, gd,1015
iter,841, gw,25, gd,1017
iter,842, gw,21, gd,1008
iter,843, gw,24, gd,1013
iter,844, gw,24, gd,1004
iter,845, gw,21, gd,1006
iter,846, gw,21, gd,1017
iter,847, gw,22, gd,1006
iter,848, gw,23, gd,1008
iter,849, gw,34, gd,1012
iter,850, gw,25, gd,1015
iter,851, gw,21, gd,1017
iter,852, gw,26, gd,1009
iter,853, gw,22, gd,1003
iter,854, gw,21, gd,1012
iter,855, gw,25, gd,1002
iter,856, gw,23, gd,1018
iter,857, gw,23, gd,1010
iter,858, gw,27, gd,1018
iter,859, gw,21, gd,1007
iter,860, gw,21, gd,1008
iter,861, gw,24, gd,1011
iter,862, gw,24, gd,1012
iter,863, gw,21, gd,1011
iter,864, gw,23, gd,1007
iter,865, gw,23, gd,1009
iter,866, gw,24, gd,1013
iter,867, gw,24, gd,1009
iter,868, gw,41, gd,1013
iter,869, gw,26, gd,1012
