iter, 530, gw, 27, gd, 1347
iter, 531, gw, 27, gd, 1336
iter, 532, gw, 33, gd, 1415
iter, 533, gw, 32, gd, 1385
iter, 534, gw, 33, gd, 1382
iter, 535, gw, 156, gd, 1401
iter, 536, gw, 68, gd, 1360
iter, 537, gw, 34, gd, 1399
iter, 538, gw, 62, gd, 1378
iter, 539, gw, 31, gd, 1401
iter, 540, gw, 27, gd, 1406
iter, 541, gw, 28, gd, 1384
iter, 542, gw, 22, gd, 1379
iter, 543, gw, 47, gd, 1375
iter, 544, gw, 37, gd, 1416
iter, 545, gw, 25, gd, 1404
iter, 546, gw, 23, gd, 1379
iter, 547, gw, 32, gd, 1389
iter, 548, gw, 26, gd, 1390
iter, 549, gw, 26, gd, 1416
iter, 550, gw, 23, gd, 1345
iter, 551, gw, 32, gd, 1322
iter, 552, gw, 32, gd, 1384
iter, 553, gw, 34, gd, 1401
iter, 554, gw, 46, gd, 1356
iter, 555, gw, 28, gd, 1371
iter, 556, gw, 31, gd, 1340
iter, 557, gw, 25, gd, 1357
iter, 558, gw, 23, gd, 1384
iter, 559, gw, 65, gd, 1371
iter, 560, gw, 40, gd, 1407
iter, 561, gw, 28, gd, 1378
iter, 562, gw, 21, gd, 1318
iter, 563, gw, 28, gd, 1421
iter, 564, gw, 27, gd, 1397
iter, 565, gw, 27, gd, 1395
iter, 566, gw, 21, gd, 1338
iter, 567, gw, 27, gd, 1390
iter, 568, gw, 31, gd, 1345
iter, 569, gw, 33, gd, 1396
iter, 570, gw, 72, gd, 1389
iter, 571, gw, 21, gd, 1356
iter, 572, gw, 21, gd, 1364
iter, 573, gw, 24, gd, 1374
iter, 574, gw, 23, gd, 1354
iter, 575, gw, 23, gd, 1360
iter, 576, gw, 40, gd, 1347
iter, 577, gw, 28, gd, 1377
iter, 578, gw, 25, gd, 1367
iter, 579, gw, 21, gd, 1391
iter, 580, gw, 23, gd, 1397
iter, 581, gw, 23, gd, 1400
iter, 582, gw, 27, gd, 1392
iter, 583, gw, 21, gd, 1356
iter, 584, gw, 26, gd, 1366
iter, 585, gw, 37, gd, 1364
iter, 586, gw, 24, gd, 1364
iter, 587, gw, 25, gd, 1376
iter, 588, gw, 28, gd, 1361
iter, 589, gw, 23, gd, 1382
iter, 590, gw, 28, gd, 1338
iter, 591, gw, 21, gd, 1332
iter, 592, gw, 30, gd, 1352
iter, 593, gw, 29, gd, 1329
iter, 594, gw, 29, gd, 1381
iter, 595, gw, 29, gd, 1357
iter, 596, gw, 23, gd, 1375
iter, 597, gw, 29, gd, 1361
iter, 598, gw, 46, gd, 1371
iter, 599, gw, 23, gd, 1352
iter, 600, gw, 23, gd, 1395
iter, 601, gw, 23, gd, 1339
